sample_id,raw_image,final_image,recognition_screenshot,processed_dir,expected_plate,recognized_plate,province,city_letter,tail,condition,detected,format_valid,province_correct,overall_correct,avg_confidence,bbox,elapsed_ms,error_type,generation_params
PL001,UserShow/PerfectData/raw_generated_plates/plate_001_京HM0DS5_normal.png,UserShow/PerfectData/final_plate_images/plate_001_result.png,UserShow/PerfectData/recognition_screenshots/plate_001_recognition.png,UserShow/PerfectData/processed_steps/PL001,京HM0DS5,京HM0DS5,京,H,M0DS5,normal,True,True,True,True,0.9523,"[240, 292, 520, 150]",63.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL002,UserShow/PerfectData/raw_generated_plates/plate_002_沪QYBQ3G_normal.png,UserShow/PerfectData/final_plate_images/plate_002_result.png,UserShow/PerfectData/recognition_screenshots/plate_002_recognition.png,UserShow/PerfectData/processed_steps/PL002,沪QYBQ3G,沪QYBQ3G,沪,Q,YBQ3G,normal,True,True,True,True,0.9559,"[240, 292, 520, 150]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL003,UserShow/PerfectData/raw_generated_plates/plate_003_粤X9N1ET_normal.png,UserShow/PerfectData/final_plate_images/plate_003_result.png,UserShow/PerfectData/recognition_screenshots/plate_003_recognition.png,UserShow/PerfectData/processed_steps/PL003,粤X9N1ET,粤X9N1ET,粤,X,9N1ET,normal,True,True,True,True,0.9657,"[240, 292, 520, 150]",47.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL004,UserShow/PerfectData/raw_generated_plates/plate_004_苏ELZCR4_normal.png,UserShow/PerfectData/final_plate_images/plate_004_result.png,UserShow/PerfectData/recognition_screenshots/plate_004_recognition.png,UserShow/PerfectData/processed_steps/PL004,苏ELZCR4,苏ELZCR4,苏,E,LZCR4,normal,True,True,True,True,0.9679,"[240, 292, 520, 150]",54.0,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL005,UserShow/PerfectData/raw_generated_plates/plate_005_浙MXAP2F_normal.png,UserShow/PerfectData/final_plate_images/plate_005_result.png,UserShow/PerfectData/recognition_screenshots/plate_005_recognition.png,UserShow/PerfectData/processed_steps/PL005,浙MXAP2F,浙MXAP2F,浙,M,XAP2F,normal,True,True,True,True,0.9575,"[240, 292, 520, 150]",49.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL006,UserShow/PerfectData/raw_generated_plates/plate_006_鲁U8M0DS_normal.png,UserShow/PerfectData/final_plate_images/plate_006_result.png,UserShow/PerfectData/recognition_screenshots/plate_006_recognition.png,UserShow/PerfectData/processed_steps/PL006,鲁U8M0DS,鲁U8M0DS,鲁,U,8M0DS,normal,True,True,True,True,0.9386,"[240, 292, 520, 150]",47.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL007,UserShow/PerfectData/raw_generated_plates/plate_007_川BKYBQ3_normal.png,UserShow/PerfectData/final_plate_images/plate_007_result.png,UserShow/PerfectData/recognition_screenshots/plate_007_recognition.png,UserShow/PerfectData/processed_steps/PL007,川BKYBQ3,川BKYBQ3,川,B,KYBQ3,normal,True,True,True,True,0.9597,"[240, 292, 520, 150]",63.3,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL008,UserShow/PerfectData/raw_generated_plates/plate_008_渝JW9N1E_normal.png,UserShow/PerfectData/final_plate_images/plate_008_result.png,UserShow/PerfectData/recognition_screenshots/plate_008_recognition.png,UserShow/PerfectData/processed_steps/PL008,渝JW9N1E,渝JW9N1E,渝,J,W9N1E,normal,True,True,True,True,0.9572,"[240, 292, 520, 150]",47.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL009,UserShow/PerfectData/raw_generated_plates/plate_009_冀R7LZCR_normal.png,UserShow/PerfectData/final_plate_images/plate_009_result.png,UserShow/PerfectData/recognition_screenshots/plate_009_recognition.png,UserShow/PerfectData/processed_steps/PL009,冀R7LZCR,冀R7LZCR,冀,R,7LZCR,normal,True,True,True,True,0.9619,"[240, 292, 520, 150]",53.9,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL010,UserShow/PerfectData/raw_generated_plates/plate_010_豫YJXAP2_normal.png,UserShow/PerfectData/final_plate_images/plate_010_result.png,UserShow/PerfectData/recognition_screenshots/plate_010_recognition.png,UserShow/PerfectData/processed_steps/PL010,豫YJXAP2,豫YJXAP2,豫,Y,JXAP2,normal,True,True,True,True,0.9595,"[240, 292, 520, 150]",47.8,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL011,UserShow/PerfectData/raw_generated_plates/plate_011_鄂FV8M0D_normal.png,UserShow/PerfectData/final_plate_images/plate_011_result.png,UserShow/PerfectData/recognition_screenshots/plate_011_recognition.png,UserShow/PerfectData/processed_steps/PL011,鄂FV8M0D,鄂FV8M0D,鄂,F,V8M0D,normal,True,True,True,True,0.939,"[240, 292, 520, 150]",63.8,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL012,UserShow/PerfectData/raw_generated_plates/plate_012_湘N6KYBQ_normal.png,UserShow/PerfectData/final_plate_images/plate_012_result.png,UserShow/PerfectData/recognition_screenshots/plate_012_recognition.png,UserShow/PerfectData/processed_steps/PL012,湘N6KYBQ,湘N6KYBQ,湘,N,6KYBQ,normal,True,True,True,True,0.9575,"[240, 292, 520, 150]",40.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL013,UserShow/PerfectData/raw_generated_plates/plate_013_皖VHW9N1_normal.png,UserShow/PerfectData/final_plate_images/plate_013_result.png,UserShow/PerfectData/recognition_screenshots/plate_013_recognition.png,UserShow/PerfectData/processed_steps/PL013,皖VHW9N1,皖VHW9N1,皖,V,HW9N1,normal,True,True,True,True,0.9541,"[240, 292, 520, 150]",47.1,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL014,UserShow/PerfectData/raw_generated_plates/plate_014_闽CU7LZC_normal.png,UserShow/PerfectData/final_plate_images/plate_014_result.png,UserShow/PerfectData/recognition_screenshots/plate_014_recognition.png,UserShow/PerfectData/processed_steps/PL014,闽CU7LZC,闽CU7LZC,闽,C,U7LZC,normal,True,True,True,True,0.9629,"[240, 292, 520, 150]",47.7,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
PL015,UserShow/PerfectData/raw_generated_plates/plate_015_赣K5JXAP_normal.png,UserShow/PerfectData/final_plate_images/plate_015_result.png,UserShow/PerfectData/recognition_screenshots/plate_015_recognition.png,UserShow/PerfectData/processed_steps/PL015,赣K5JXAP,赣K5JXAP,赣,K,5JXAP,normal,True,True,True,True,0.9588,"[240, 292, 520, 150]",47.6,,"{""plate_size"": [520, 150], ""scene_size"": [1000, 600], ""condition"": ""normal"", ""style"": ""standard_blue""}"
